"IVS1_Code","IVS1_Label","ivs_iti4","IVS2_Label","Location","N2SpTFA","NZMGE","NZMGN","NZTM.E","NZTM.N","Island","Is.Code","TFA","TFA.Code","Territorial.Authority","TLA.code","RTO","RTO.code","Region","Region.code","DTS.Frequency..I.","DTS.Frequency..II.","ivs_iti5","RTO_mbiemaps"
20030,"Cape Reinga","ivs_iti4_20030","Cape Reinga","Cape Reinga",3,"2481703","6752645","1570656","6190354","North",1,"Cape Reinga",2,"Far North District",1,"Northland RTO",1,"Northland Region",1,38,37,"ivs_iti5_20030","Northland RTO"
20100,"Te Hapua","ivs_iti4_20100","Te Hapua","Te Hapua",10,"2502547","6743061","1591521","6180839","North",1,"Cape Reinga",2,"Far North District",1,"Northland RTO",1,"Northland Region",1,3,3,"ivs_iti5_20100","Northland RTO"
20180,"Pukenui","ivs_iti4_20180","Pukenui","Pukenui",18,"2521158","6709731","1610224","6147581","North",1,"Cape Reinga",2,"Far North District",1,"Northland RTO",1,"Northland Region",1,8,4,"ivs_iti5_20180","Northland RTO"
30090,"Whatuwhiwhi","ivs_iti4_30090","Whatuwhiwhi","Whatuwhiwhi",9,"2548363","6702415","1637436","6140346","North",1,"Kaitaia",3,"Far North District",1,"Northland RTO",1,"Northland Region",1,12,12,"ivs_iti5_30090","Northland RTO"
30110,"Kawakawa","ivs_iti4_30110","Kawakawa","Kawakawa",11,"2540059","6698812","1629147","6136721","North",1,"Kaitaia",3,"Far North District",1,"Northland RTO",1,"Northland Region",1,150,96,"ivs_iti5_30110","Northland RTO"
30190,"Cable Bay ( Kaitaia )","ivs_iti4_30190","Cable Bay","Cable Bay ( Kaitaia )",19,"2554942","6689625","1644048","6127580","North",1,"Kaitaia",3,"Far North District",1,"Northland RTO",1,"Northland Region",1,12,10,"ivs_iti5_30190","Northland RTO"
30200,"Mangonui","ivs_iti4_30200","Mangonui","Mangonui",20,"2559361","6689611","1648465","6127579","North",1,"Kaitaia",3,"Far North District",1,"Northland RTO",1,"Northland Region",1,62,50,"ivs_iti5_30200","Northland RTO"
30220,"Waipapakauri","ivs_iti4_30220","Waipapakauri","Waipapakauri",22,"2531778","6686312","1620905","6124205","North",1,"Kaitaia",3,"Far North District",1,"Northland RTO",1,"Northland Region",1,2,2,"ivs_iti5_30220","Northland RTO"
30230,"Kaingaroa","ivs_iti4_30230","Kaingaroa","Kaingaroa",23,"2540037","6685921","1629161","6123837","North",1,"Kaitaia",3,"Far North District",1,"Northland RTO",1,"Northland Region",1,1,1,"ivs_iti5_30230","Northland RTO"
30240,"Waipapakauri Beach","ivs_iti4_30240","Waipapakauri Beach","Waipapakauri Beach",24,"2526314","6684527","1615449","6122405","North",1,"Kaitaia",3,"Far North District",1,"Northland RTO",1,"Northland Region",1,7,6,"ivs_iti5_30240","Northland RTO"
